"breedtegraad,""lengtegraad"",""CO2"",""CH4"",""NO2"",""NH3"""
20,41,100.51,3.11,42.22,0.02
20,42,108.13,2.92,42.51,0.03
20,43,137.54,3.07,31.13,0.03
20,44,173.59,2.98,37.1,0.04
20,45,147.98,2.95,46.02,0.03
20,46,184.6,2.86,38.92,0.03
20,47,170.47,3.8,55.95,0.03
20,48,119.93,2.88,30.96,0.02
20,49,114.08,2.46,31.65,0.03
20,50,131.84,3.54,45.36,0.03
20,51,199.03,2.51,43.88,0.03
20,52,157.97,3.17,46.75,0.02
20,53,154.96,2.62,40.65,0.03
20,54,160.92,2.27,47.97,0.02
20,55,161.58,2.56,54.46,0.03
20,56,180.68,2.59,34.42,0.02
20,57,181.43,3.64,56.12,0.03
20,58,176.33,2.83,39.29,0.03
20,59,106.26,3.39,39.94,0.03
20,60,137.94,2.72,44.4,0.03
20,61,110.94,3.39,30.3,0.04
20,62,183.46,3.98,32.8,0.03
20,63,182.68,2.65,51.62,0.04
20,64,127.82,2.97,52.25,0.03
20,65,154.63,3.44,48.07,0.03
20,66,167.48,3.27,44.79,0.04
20,67,183.35,3.49,38.68,0.02
20,68,134.34,3.23,43.52,0.02
20,69,148.24,2.47,41.02,0.03
20,70,195.06,3.15,51.61,0.03
20,71,123.58,2.3,51.81,0.03
20,72,129.05,2.79,57.21,0.03
20,73,191.77,3.83,37.35,0.03
20,74,196.97,3.21,53.48,0.04
20,75,169.8,3.17,48.02,0.03
20,76,105.49,2.73,39.67,0.02
20,77,199.42,2.43,38.84,0.03
20,78,162.44,3.21,36.82,0.02
20,79,138.03,3.67,34.71,0.02
20,80,188.72,2.62,53.47,0.04
20,81,165.58,3.37,41.53,0.03
20,82,143.89,2.1,38.66,0.02
20,83,190.12,3.89,33.17,0.03
20,84,188.37,3.14,42.27,0.02
20,85,180.13,3.54,47.59,0.04
20,86,106.46,2.99,43.55,0.04
20,87,130.72,2.15,34.32,0.04
20,88,128.39,3.55,35.43,0.03
20,89,199.38,2.18,39.94,0.02
20,90,110.52,3.44,33.31,0.04
20,91,140.12,3.72,30.52,0.03
20,92,144.44,2.76,49.29,0.03
20,93,111.27,3.81,38.85,0.03
20,94,107.08,2.76,57.4,0.03
20,95,127.9,2.94,52.15,0.02
20,96,184.53,3.04,33.33,0.02
20,97,113.09,3.45,44.4,0.02
20,98,174.78,3.54,42.83,0.03
20,99,194.28,2.8,45.34,0.02
21,0,162.68,2.49,41.72,0.03
21,1,114.69,3.47,33.31,0.02
21,2,168.62,2.73,58.48,0.03
21,3,147.19,2.11,43.96,0.02
21,4,111.92,3.57,37.14,0.03
21,5,160.33,2.27,46.68,0.04
21,6,175.79,3.46,58.92,0.03
21,7,167.31,3.32,32.58,0.04
21,8,140.98,3.41,39.03,0.03
21,9,152.12,3.26,50.48,0.03
21,10,132.18,3.77,42.89,0.02
21,11,139.01,3.13,46.95,0.03
21,12,146.38,2.6,35.88,0.04
21,13,184.3,3.67,43.6,0.02
21,14,151.33,2.42,55.0,0.03
21,15,128.27,3.78,47.2,0.02
21,16,180.75,2.18,43.7,0.03
21,17,147.37,2.41,47.42,0.03
21,18,134.4,2.35,44.49,0.04
21,19,169.18,2.4,50.92,0.02
21,20,156.18,3.92,31.35,0.02
21,21,155.31,3.09,43.01,0.03
21,22,149.88,2.54,58.73,0.03
21,23,108.79,2.06,45.24,0.03
21,24,193.73,3.59,57.28,0.03
21,25,115.9,2.31,43.46,0.04
21,26,154.39,3.75,38.48,0.03
21,27,174.26,3.92,38.81,0.02
21,28,169.67,2.65,58.47,0.03
21,29,192.36,2.44,57.09,0.03
21,30,152.16,2.64,36.69,0.04
21,31,146.3,3.49,34.16,0.03
21,32,128.89,3.32,46.04,0.02
21,33,170.7,3.66,44.89,0.03
21,34,182.8,3.9,50.88,0.02
21,35,153.22,2.13,59.83,0.03
21,36,156.41,3.99,53.6,0.03
21,37,161.89,2.55,58.75,0.03
21,38,175.62,2.33,36.04,0.03
21,39,114.63,2.79,44.07,0.03
21,40,154.45,2.93,56.16,0.02
21,41,133.46,2.64,37.8,0.02
21,42,195.67,3.45,43.34,0.03
21,43,121.81,2.74,57.53,0.02
21,44,103.91,3.93,51.65,0.04
21,45,177.89,3.21,36.57,0.03
21,46,114.04,2.97,38.82,0.02
21,47,168.82,2.35,31.06,0.03
21,48,118.2,3.14,46.79,0.03
21,49,175.72,2.28,32.74,0.03
21,50,119.51,3.09,30.71,0.03
21,51,168.17,3.14,35.01,0.02
21,52,122.01,3.97,31.46,0.03
21,53,190.45,2.12,39.4,0.02
21,54,121.67,3.32,39.68,0.02
21,55,127.69,2.51,47.49,0.03
21,56,195.14,3.32,51.88,0.03
21,57,126.48,3.97,31.4,0.04
21,58,194.08,3.4,46.48,0.03
21,59,137.66,3.78,59.43,0.04
21,60,179.67,3.51,33.21,0.02
21,61,172.24,2.24,42.65,0.03
21,62,107.59,3.49,35.19,0.03
21,63,199.36,2.29,57.03,0.03
21,64,110.6,2.99,54.96,0.03
21,65,142.61,2.42,47.41,0.02
21,66,132.85,3.19,41.39,0.03
21,67,138.02,2.3,33.96,0.02
21,68,140.15,2.15,31.69,0.03
21,69,151.68,2.8,30.95,0.04
21,70,194.21,3.22,55.92,0.03
21,71,109.58,2.76,51.67,0.04
21,72,196.75,2.56,56.89,0.04
21,73,161.71,3.14,53.95,0.03
21,74,173.79,2.97,49.07,0.03
21,75,187.78,3.22,55.07,0.03
21,76,182.31,2.22,58.34,0.03
21,77,127.97,3.17,50.52,0.03
21,78,164.31,2.03,58.01,0.04
21,79,181.84,2.71,52.2,0.04
21,80,155.76,2.23,31.17,0.04
21,81,144.11,3.45,59.56,0.03
21,82,193.09,2.91,34.76,0.03
21,83,189.19,3.06,53.7,0.04
21,84,153.92,3.2,57.6,0.03
21,85,172.2,2.42,31.59,0.03
21,86,188.16,3.61,39.3,0.04
21,87,123.85,3.43,48.46,0.04
21,88,153.78,2.87,30.49,0.03
21,89,124.8,3.42,36.04,0.02
21,90,166.21,3.5,57.98,0.04
21,91,120.98,3.32,39.55,0.03
21,92,157.41,3.69,30.24,0.02
21,93,112.6,2.56,42.78,0.02
21,94,105.01,3.37,50.08,0.02
21,95,114.8,2.45,45.95,0.03
21,96,123.92,3.29,43.78,0.04
21,97,184.91,3.48,59.77,0.04
21,98,112.15,3.47,33.31,0.03
21,99,188.09,2.81,36.6,0.03
22,0,118.81,3.28,37.34,0.02
22,1,162.84,2.96,50.76,0.04
22,2,150.38,2.33,51.59,0.04
22,3,115.15,3.96,47.99,0.03
22,4,157.24,2.46,37.13,0.04
22,5,165.23,3.71,31.46,0.04
22,6,171.71,2.95,32.99,0.02
22,7,115.44,2.75,31.2,0.03
22,8,104.02,2.07,41.63,0.03
22,9,127.02,3.54,31.67,0.02
22,10,181.07,3.52,38.95,0.02
22,11,101.05,2.08,37.55,0.03
22,12,174.78,3.91,50.69,0.04
22,13,136.05,3.22,33.67,0.02
22,14,105.75,3.42,51.71,0.03
22,15,192.36,2.09,40.86,0.03
22,16,151.9,2.82,47.69,0.03
22,17,173.02,3.53,57.02,0.03
22,18,140.5,3.83,35.08,0.04
22,19,127.59,2.55,33.09,0.03
22,20,135.34,2.12,49.87,0.03
22,21,182.92,2.05,31.88,0.02
22,22,133.97,2.18,39.32,0.04
22,23,137.15,2.9,55.49,0.03
22,24,169.99,3.42,39.95,0.02
22,25,147.34,3.29,59.05,0.04
22,26,100.52,3.0,35.39,0.03
22,27,184.52,3.03,31.6,0.02
22,28,191.6,2.48,34.41,0.03
22,29,182.23,2.54,42.04,0.03
22,30,128.04,3.94,57.33,0.02
22,31,148.81,2.36,40.92,0.02
22,32,157.98,3.66,34.66,0.02
22,33,139.95,3.96,41.15,0.02
22,34,164.02,3.24,45.06,0.04
22,35,145.39,3.17,59.34,0.03
22,36,173.64,3.04,41.78,0.02
22,37,137.11,2.72,48.32,0.04
22,38,125.49,3.21,54.87,0.02
22,39,188.35,3.73,38.75,0.03
22,40,196.05,2.39,39.1,0.02
22,41,159.79,3.27,51.79,0.03
22,42,100.5,3.17,35.86,0.04
22,43,134.75,2.33,33.07,0.03
22,44,160.48,2.64,39.43,0.03
22,45,121.63,3.81,58.52,0.04
22,46,107.74,2.49,59.98,0.02
22,47,168.55,3.13,30.56,0.03
22,48,113.96,3.25,44.68,0.03
22,49,106.51,3.37,35.18,0.04
22,50,123.71,3.33,53.48,0.03
22,51,165.37,2.46,39.77,0.03
22,52,190.05,2.73,50.11,0.02
22,53,106.44,2.5,51.07,0.03
22,54,168.81,2.09,32.48,0.02
22,55,173.65,3.98,48.3,0.03
22,56,111.8,2.09,31.24,0.03
22,57,129.26,3.82,40.47,0.03
22,58,145.9,2.88,43.49,0.02
22,59,148.06,2.7,51.13,0.03
22,60,118.56,2.24,36.65,0.02
22,61,187.39,2.56,55.05,0.02
22,62,118.03,2.42,30.03,0.03
22,63,108.69,3.27,52.06,0.03
22,64,145.78,3.2,45.92,0.04
22,65,176.98,2.93,32.23,0.03
22,66,161.52,3.56,53.85,0.04
22,67,192.97,3.55,52.21,0.03
22,68,199.84,2.43,45.08,0.04
22,69,165.28,2.75,47.55,0.04
22,70,129.83,2.69,55.74,0.02
22,71,191.17,2.18,58.6,0.03
22,72,153.88,3.33,56.46,0.03
22,73,174.24,3.01,35.06,0.04
22,74,164.65,2.08,56.57,0.03
22,75,177.85,2.68,48.6,0.04
22,76,104.28,3.34,56.13,0.04
22,77,199.63,2.16,31.32,0.03
22,78,189.31,2.75,59.33,0.04
22,79,110.95,3.54,56.66,0.04
22,80,122.62,2.07,47.78,0.03
22,81,114.07,3.18,46.05,0.02
22,82,145.11,2.25,57.33,0.03
22,83,162.55,2.33,33.89,0.02
22,84,145.06,3.77,53.65,0.02
22,85,184.47,3.69,51.69,0.03
22,86,170.74,3.78,36.9,0.03
22,87,147.85,3.84,57.25,0.03
22,88,143.94,3.67,47.73,0.03
22,89,172.97,2.15,31.88,0.02
22,90,167.59,3.11,38.94,0.02
22,91,161.15,2.97,53.34,0.03
22,92,149.23,2.01,34.29,0.02
22,93,174.92,2.79,45.78,0.04
22,94,197.5,3.84,47.66,0.03
22,95,104.23,2.02,39.43,0.04
22,96,100.78,3.89,42.17,0.03
22,97,189.88,2.83,41.65,0.03
22,98,145.54,2.62,31.56,0.03
22,99,155.11,2.19,41.39,0.02
23,0,144.21,3.23,35.08,0.04
23,1,158.88,3.48,31.74,0.02
23,2,124.05,2.45,32.12,0.03
23,3,171.22,2.84,31.08,0.02
23,4,165.28,3.57,51.24,0.02
23,5,177.46,2.76,42.75,0.03
23,6,101.45,2.79,40.32,0.04
23,7,172.17,2.77,50.25,0.03
23,8,148.78,2.89,43.78,0.04
23,9,142.86,3.23,33.78,0.03
23,10,169.69,2.17,30.2,0.03
23,11,157.69,2.03,53.7,0.03
23,12,185.25,2.64,36.54,0.04
23,13,180.82,3.21,56.42,0.04
23,14,115.73,2.89,44.1,0.02
23,15,154.71,2.33,45.84,0.03
23,16,199.07,3.58,45.96,0.04
23,17,189.35,3.37,55.74,0.02
23,18,176.0,3.07,30.16,0.03
23,19,129.47,2.15,38.61,0.02
23,20,192.61,2.37,49.02,0.04
23,21,198.67,3.51,42.53,0.03
23,22,167.77,2.36,50.19,0.03
23,23,131.84,3.01,53.55,0.04
23,24,198.65,2.03,54.69,0.03
23,25,186.96,3.73,44.15,0.04
23,26,116.4,3.95,31.91,0.03
23,27,134.41,3.76,50.07,0.02
23,28,140.14,2.81,30.35,0.03
23,29,105.78,2.23,38.99,0.04
23,30,115.22,3.93,39.69,0.04
23,31,170.19,2.2,54.98,0.03
23,32,125.75,3.59,41.52,0.03
23,33,115.46,2.91,32.24,0.03
23,34,154.05,2.73,47.05,0.02
23,35,192.87,3.14,44.87,0.04
23,36,139.13,2.27,54.34,0.03
23,37,140.21,2.82,48.67,0.02
23,38,190.16,2.67,51.6,0.03
23,39,172.26,3.84,33.33,0.02
23,40,140.84,3.99,37.42,0.02
23,41,197.27,2.33,38.32,0.04
23,42,112.42,2.17,47.56,0.02
23,43,144.71,3.82,45.09,0.03
23,44,123.88,2.48,31.99,0.02
23,45,141.16,2.3,33.58,0.03
23,46,193.58,3.26,58.38,0.03
23,47,124.29,3.61,39.78,0.02
23,48,145.22,2.24,55.43,0.04
23,49,144.49,3.12,53.01,0.03
23,50,181.11,2.01,37.88,0.03
23,51,104.75,2.73,40.17,0.02
23,52,147.5,3.19,53.33,0.03
23,53,120.74,2.76,35.43,0.03
23,54,126.99,2.01,49.59,0.03
23,55,128.66,2.84,51.3,0.02
23,56,159.83,2.12,49.14,0.02
23,57,189.7,3.0,48.63,0.02
23,58,105.24,2.31,52.44,0.03
23,59,182.7,2.46,36.26,0.02
23,60,152.39,2.19,55.69,0.02
23,61,138.6,3.04,54.71,0.03
23,62,156.99,2.08,46.71,0.04
23,63,110.48,2.99,47.2,0.03
23,64,190.19,3.67,46.0,0.04
23,65,139.72,2.06,39.96,0.04
23,66,181.94,2.49,43.65,0.04
23,67,163.79,2.28,34.75,0.03
23,68,123.05,2.32,38.14,0.03
23,69,144.74,2.21,40.12,0.03
23,70,180.87,3.41,47.47,0.04
23,71,125.62,3.91,55.6,0.03
23,72,107.62,2.91,59.95,0.03
23,73,167.82,2.59,35.47,0.04
23,74,137.88,3.17,44.65,0.04
23,75,137.51,3.58,45.22,0.03
23,76,171.31,2.29,34.45,0.03
23,77,111.57,3.01,54.19,0.03
23,78,182.73,2.88,45.79,0.04
23,79,150.32,2.01,30.99,0.02
23,80,189.94,3.03,42.86,0.03
23,81,149.49,2.01,55.75,0.04
23,82,178.9,3.08,58.2,0.04
23,83,187.86,3.29,44.2,0.02
23,84,102.2,2.17,31.71,0.03
23,85,162.84,3.88,41.17,0.03
23,86,154.05,3.62,53.62,0.03
23,87,135.22,2.66,47.09,0.03
23,88,166.11,2.46,49.84,0.03
23,89,157.3,3.68,38.33,0.03
23,90,100.62,2.34,58.62,0.04
23,91,177.1,3.79,45.98,0.02
23,92,170.45,3.04,40.39,0.02
23,93,110.5,3.7,55.6,0.04
23,94,141.67,2.02,39.88,0.03
23,95,113.32,2.32,38.84,0.02
23,96,143.12,3.24,33.56,0.03
23,97,186.39,2.3,33.14,0.03
23,98,174.8,3.53,48.71,0.03
23,99,197.82,2.61,50.24,0.03
24,0,187.11,2.32,32.63,0.03
24,1,107.94,3.9,42.05,0.02
24,2,172.1,2.96,46.48,0.03
24,3,100.8,2.79,55.32,0.04
24,4,182.97,3.47,30.16,0.03
24,5,161.32,3.39,49.73,0.03
24,6,196.89,2.57,47.85,0.02
24,7,129.49,3.35,51.6,0.03
24,8,148.9,2.06,54.13,0.04
24,9,193.05,3.38,37.53,0.04
24,10,148.68,3.09,46.43,0.02
24,11,128.15,2.29,54.89,0.02
24,12,178.2,3.34,54.34,0.02
24,13,156.45,2.16,39.55,0.03
24,14,124.34,3.65,54.34,0.04
24,15,117.95,2.63,40.14,0.02
24,16,162.42,2.76,35.79,0.04
24,17,119.0,2.99,50.64,0.02
24,18,161.45,3.97,36.63,0.03
24,19,189.69,3.79,45.74,0.04
24,20,183.56,3.8,49.68,0.03
24,21,188.02,3.13,43.35,0.03
24,22,131.37,2.97,40.79,0.02
24,23,152.83,2.63,36.23,0.02
24,24,118.9,3.9,52.61,0.03
24,25,150.72,3.91,37.11,0.04
24,26,150.46,3.81,50.45,0.03
24,27,173.59,2.15,56.42,0.03
24,28,150.83,3.88,38.0,0.02
24,29,182.41,2.92,40.52,0.03
24,30,193.56,2.18,35.41,0.03
24,31,152.78,3.76,56.28,0.03
24,32,175.14,2.96,56.66,0.03
24,33,112.59,2.73,33.8,0.02
24,34,109.75,3.45,45.79,0.03
24,35,145.89,2.16,58.32,0.04
24,36,149.78,2.83,50.84,0.03
24,37,148.61,3.97,49.91,0.03
24,38,123.63,2.92,32.77,0.04
24,39,190.55,2.35,54.16,0.03
24,40,104.64,3.13,32.57,0.04
24,41,170.17,2.66,43.24,0.03
24,42,196.04,2.95,53.44,0.03
24,43,187.08,3.96,41.0,0.03
24,44,137.9,3.12,39.03,0.03
24,45,130.95,3.08,36.39,0.03
24,46,170.83,2.14,59.63,0.02
24,47,191.9,3.9,49.4,0.03
24,48,157.71,3.64,38.79,0.02
24,49,192.32,2.63,57.27,0.03
24,50,187.29,3.91,35.96,0.03
24,51,103.28,3.84,59.43,0.03
24,52,162.66,3.37,39.81,0.03
24,53,172.74,2.43,46.81,0.02
24,54,117.07,2.45,31.4,0.02
24,55,154.13,3.41,55.65,0.03
24,56,166.37,2.36,57.38,0.04
24,57,114.92,2.1,33.73,0.04
24,58,125.69,2.77,33.19,0.04
24,59,142.98,3.51,56.57,0.04
24,60,143.45,3.78,39.34,0.03
24,61,106.27,3.12,54.12,0.02
24,62,189.87,3.62,35.33,0.03
24,63,160.73,3.28,39.26,0.04
24,64,165.7,2.13,45.94,0.03
24,65,149.03,2.13,48.0,0.02
24,66,149.23,2.79,50.85,0.02
24,67,171.76,2.5,50.66,0.04
24,68,120.28,3.16,50.77,0.02
24,69,115.95,3.62,52.12,0.02
24,70,138.65,3.76,57.22,0.02
24,71,115.8,3.83,47.25,0.02
24,72,147.82,2.15,37.67,0.02
24,73,128.3,3.67,48.08,0.02
24,74,123.51,2.34,41.22,0.04
24,75,116.11,2.11,52.16,0.03
24,76,140.11,3.23,34.73,0.03
24,77,194.43,3.75,53.74,0.03
24,78,149.73,2.74,58.18,0.04
24,79,189.86,2.93,41.83,0.04
24,80,151.91,2.94,39.74,0.02
24,81,100.99,3.24,42.31,0.04
24,82,100.23,2.1,45.79,0.03
24,83,138.38,3.94,35.39,0.03
24,84,184.57,2.52,37.65,0.03
24,85,140.87,2.54,50.2,0.03
24,86,189.62,3.54,41.48,0.04
24,87,161.61,2.09,39.62,0.03
24,88,125.24,3.78,58.21,0.03
24,89,183.44,3.35,51.56,0.04
24,90,146.0,3.56,52.81,0.04
24,91,171.18,3.63,43.56,0.03
24,92,167.67,3.34,47.31,0.02
24,93,187.48,3.42,43.8,0.03
24,94,164.58,3.26,43.0,0.03
24,95,186.84,3.71,35.0,0.03
24,96,192.4,3.86,37.63,0.04
24,97,159.15,3.54,55.0,0.04
24,98,146.17,2.79,38.11,0.03
24,99,144.84,2.29,52.98,0.03
25,0,152.01,3.55,39.63,0.03
25,1,146.49,3.54,47.49,0.03
25,2,113.7,3.39,55.67,0.04
25,3,169.57,2.0,52.12,0.03
25,4,168.4,2.93,41.93,0.03
25,5,128.92,3.17,57.27,0.03
25,6,170.98,2.15,38.91,0.02
25,7,165.07,2.88,49.45,0.03
25,8,171.78,2.06,45.16,0.03
25,9,118.34,3.25,58.01,0.02
25,10,192.94,2.71,59.09,0.03
25,11,118.09,2.36,45.64,0.04
25,12,109.5,3.31,50.97,0.03
25,13,130.8,2.07,57.13,0.04
25,14,132.75,2.23,58.35,0.04
25,15,182.84,3.25,55.62,0.04
25,16,140.91,2.72,33.81,0.04
25,17,151.61,3.19,39.78,0.02
25,18,194.88,3.2,32.25,0.02
25,19,146.06,3.28,31.27,0.02
25,20,186.98,2.75,58.13,0.02
25,21,170.87,3.95,53.32,0.03
25,22,169.62,2.45,39.57,0.03
25,23,107.88,2.42,37.91,0.03
25,24,113.03,3.22,53.28,0.03
25,25,151.38,3.86,36.03,0.02
25,26,156.93,2.15,58.71,0.03
25,27,163.51,2.79,45.54,0.03
25,28,175.92,2.51,35.43,0.02
25,29,184.2,3.61,34.64,0.03
25,30,133.61,3.48,56.82,0.02
25,31,126.86,3.72,53.39,0.03
25,32,194.45,2.6,56.11,0.04
25,33,110.94,3.32,32.21,0.04
25,34,145.71,2.24,30.61,0.04
25,35,185.47,3.39,45.12,0.03
25,36,145.21,2.09,38.48,0.02
25,37,155.06,3.26,30.73,0.03
25,38,132.77,2.55,37.84,0.03
25,39,173.51,2.59,45.83,0.02
25,40,181.7,2.81,43.94,0.03
25,41,195.61,2.35,50.94,0.03
25,42,132.91,3.96,55.36,0.03
25,43,150.87,3.57,38.68,0.02
25,44,144.15,3.26,34.3,0.02
25,45,170.9,3.43,44.73,0.03
25,46,186.19,3.91,57.34,0.03
25,47,150.37,3.6,44.89,0.03
25,48,197.95,2.8,53.41,0.03
25,49,117.89,2.04,32.33,0.03
25,50,182.2,3.49,37.42,0.03
25,51,190.04,3.34,56.84,0.03
25,52,187.46,3.33,51.28,0.03
25,53,142.75,3.28,43.98,0.02
25,54,128.41,2.15,41.51,0.02
25,55,175.4,3.57,39.83,0.03
25,56,102.5,2.96,30.77,0.04
25,57,169.09,2.22,47.49,0.02
25,58,149.08,2.95,37.52,0.02
25,59,176.21,2.65,59.36,0.03
25,60,182.99,3.98,36.63,0.03
25,61,126.08,3.38,55.97,0.03
25,62,174.27,3.22,50.75,0.02
25,63,174.86,3.18,48.39,0.03
25,64,136.78,3.59,58.21,0.03
25,65,145.28,2.91,33.0,0.03
25,66,158.29,3.93,30.29,0.03
25,67,181.16,3.05,40.55,0.03
25,68,112.83,3.76,58.91,0.03
25,69,125.45,3.97,31.97,0.02
25,70,115.06,2.91,32.41,0.04
25,71,117.3,3.07,57.34,0.04
25,72,142.89,2.31,43.46,0.02
25,73,167.57,2.37,48.74,0.04
25,74,112.44,3.73,46.07,0.03
25,75,175.73,2.44,39.74,0.04
25,76,140.37,2.69,36.17,0.02
25,77,193.26,2.5,59.2,0.03
25,78,125.71,3.89,56.02,0.03
25,79,119.03,3.88,48.1,0.02
25,80,140.31,2.46,56.97,0.04
25,81,185.22,2.12,49.92,0.03
25,82,121.75,3.91,37.32,0.03
25,83,160.99,2.01,49.16,0.02
25,84,122.52,3.1,54.72,0.04
25,85,132.57,3.16,59.93,0.04
25,86,132.63,2.01,53.64,0.02
25,87,187.92,2.18,43.51,0.04
25,88,182.8,2.84,38.01,0.04
25,89,173.33,2.39,45.01,0.04
25,90,112.12,3.57,54.69,0.03
25,91,182.74,3.26,39.95,0.02
25,92,116.88,2.74,53.72,0.04
25,93,168.28,2.54,52.27,0.04
25,94,131.65,3.15,30.97,0.03
25,95,138.39,3.11,46.41,0.04
25,96,118.57,3.38,51.69,0.03
25,97,152.14,2.65,50.01,0.04
25,98,100.22,3.95,34.02,0.03
25,99,192.89,3.61,52.18,0.02
26,0,147.45,2.27,42.21,0.03
26,1,173.88,3.02,58.97,0.02
26,2,111.25,3.15,46.22,0.03
26,3,113.86,3.57,54.52,0.04
26,4,139.76,2.89,36.08,0.03
26,5,114.6,3.16,55.76,0.02
26,6,146.03,3.99,57.38,0.04
26,7,184.55,3.22,49.64,0.02
26,8,144.22,2.32,54.29,0.03
26,9,694.34,18.34,234.79,0.16
26,10,694.34,18.34,234.79,0.16
26,11,694.34,18.34,234.79,0.16
26,12,694.34,18.34,234.79,0.16
26,13,694.34,18.34,234.79,0.16
26,14,112.47,3.24,48.47,0.04
26,15,194.6,2.08,34.99,0.03
26,16,102.24,2.2,44.8,0.04
26,17,179.89,2.63,43.13,0.02
26,18,176.91,2.6,45.09,0.03
26,19,106.26,3.26,30.63,0.02
26,20,131.45,2.77,41.09,0.04
26,21,181.92,2.19,44.79,0.03
26,22,174.65,2.44,57.73,0.03
26,23,106.21,3.45,54.01,0.03
26,24,148.23,2.51,35.63,0.03
26,25,126.38,2.01,57.44,0.04
26,26,194.4,3.12,46.46,0.03
26,27,194.84,3.66,47.13,0.03
26,28,185.4,2.59,30.08,0.03
26,29,127.77,2.34,59.35,0.03
26,30,177.68,3.62,42.73,0.02
26,31,152.63,3.07,59.86,0.03
26,32,193.71,3.94,44.18,0.02
26,33,143.71,3.43,42.46,0.02
26,34,111.41,2.02,53.19,0.03
26,35,197.51,2.62,57.2,0.03
26,36,185.61,3.2,52.3,0.03
26,37,189.01,3.7,44.81,0.04
26,38,192.88,3.97,51.18,0.03
26,39,154.12,3.63,55.19,0.03
26,40,119.07,3.58,30.42,0.04
26,41,119.6,2.32,32.92,0.03
26,42,143.94,3.75,55.87,0.03
26,43,196.16,3.75,39.9,0.02
26,44,189.37,3.53,53.02,0.04
26,45,193.47,2.45,48.5,0.03
26,46,195.93,3.9,54.67,0.04
26,47,104.04,3.14,52.76,0.02
26,48,162.68,3.37,57.87,0.04
26,49,107.84,3.14,55.56,0.03
26,50,190.99,2.17,54.58,0.03
26,51,116.37,3.46,51.13,0.04
26,52,194.69,2.32,30.51,0.04
26,53,109.28,3.47,43.37,0.04
26,54,153.29,3.31,37.08,0.03
26,55,198.9,2.52,56.17,0.03
26,56,119.03,2.53,53.77,0.02
26,57,152.34,2.4,33.37,0.02
26,58,105.04,3.62,39.51,0.02
26,59,159.15,3.43,39.64,0.04
26,60,157.43,3.92,41.55,0.02
26,61,136.17,2.77,34.14,0.02
26,62,174.2,2.96,36.02,0.03
26,63,177.0,3.65,30.85,0.04
26,64,121.26,2.74,48.73,0.03
26,65,189.91,2.62,31.38,0.04
26,66,124.18,3.97,48.38,0.03
26,67,139.68,3.37,53.38,0.03
26,68,155.63,3.91,36.23,0.04
26,69,129.85,2.64,55.97,0.03
26,70,184.79,2.46,55.57,0.03
26,71,126.85,3.45,51.5,0.04
26,72,111.62,2.73,47.29,0.04
26,73,116.13,3.37,57.45,0.02
26,74,111.04,3.12,35.38,0.02
26,75,108.74,3.76,57.5,0.03
26,76,100.73,3.26,55.68,0.03
26,77,122.64,3.55,32.77,0.02
26,78,106.91,3.12,43.92,0.03
26,79,196.55,3.12,37.37,0.03
26,80,174.3,3.23,53.88,0.02
26,81,113.98,3.3,51.02,0.03
26,82,195.57,2.14,55.6,0.04
26,83,143.58,3.25,48.87,0.03
26,84,166.23,3.79,40.08,0.02
26,85,123.47,2.14,49.76,0.03
26,86,167.73,2.54,56.04,0.03
26,87,122.3,3.87,50.19,0.03
26,88,113.82,2.16,33.86,0.04
26,89,135.4,3.0,45.77,0.03
26,90,121.58,3.82,45.57,0.04
26,91,159.61,3.92,48.48,0.02
26,92,166.3,3.38,48.54,0.03
26,93,147.39,2.27,32.53,0.04
26,94,174.74,2.6,33.68,0.02
26,95,122.88,2.3,33.96,0.03
26,96,138.77,3.68,51.18,0.03
26,97,171.44,3.07,56.95,0.02
26,98,120.94,3.25,44.31,0.02
26,99,188.03,3.95,32.48,0.02
27,0,110.56,2.03,38.98,0.03
27,1,104.7,2.47,55.67,0.03
27,2,123.84,3.32,51.59,0.03
27,3,116.27,2.37,36.39,0.04
27,4,132.2,2.93,31.25,0.04
27,5,103.17,3.63,35.83,0.03
27,6,159.37,3.6,41.48,0.02
27,7,113.26,2.77,51.31,0.02
27,8,168.64,3.8,34.64,0.02
27,9,694.34,18.34,234.79,0.16
27,10,1262.71,26.2,398.21,0.22
27,11,1262.71,26.2,398.21,0.22
27,12,1262.71,26.2,398.21,0.22
27,13,694.34,18.34,234.79,0.16
27,14,169.9,3.62,57.42,0.02
27,15,180.03,3.16,51.84,0.03
27,16,179.6,2.59,46.42,0.03
27,17,188.83,2.17,46.26,0.02
27,18,122.17,2.06,54.86,0.03
27,19,129.42,2.86,47.62,0.03
27,20,187.81,3.64,36.56,0.04
27,21,129.52,2.73,59.51,0.04
27,22,115.98,2.83,30.8,0.03
27,23,152.84,3.84,55.5,0.02
27,24,189.94,3.93,57.0,0.04
27,25,171.46,3.34,52.39,0.03
27,26,191.33,3.81,52.69,0.03
27,27,104.19,3.28,46.89,0.02
27,28,175.41,2.9,56.65,0.03
27,29,136.19,3.2,41.06,0.03
27,30,107.34,2.86,36.37,0.03
27,31,116.38,2.39,52.69,0.04
27,32,185.56,3.43,41.96,0.03
27,33,186.78,3.84,59.38,0.03
27,34,147.4,3.64,34.48,0.02
27,35,129.83,2.25,50.78,0.03
27,36,129.53,2.0,52.2,0.03
27,37,184.03,2.13,59.54,0.03
